,郡１,群２,観測値１,観測値２,群1_観測値1,群１観測値２,群２観測値１,群２観測値２,p値
0,0_0_0,0_1_0,1_1,1_2,14,12,1,0,1.0
1,0_0_0,0_1_0,1_2,1_3,12,9,0,0,1.0
2,0_0_0,0_1_0,1_3,1_4,9,6,0,0,1.0
3,0_0_0,0_1_0,1_4,1_5,6,7,0,0,1.0
4,0_0_0,0_1_0,1_5,2_1,7,4,0,0,1.0
5,0_0_0,0_1_0,2_1,2_2,4,9,0,0,1.0
6,0_0_0,0_1_0,2_2,2_3,9,4,0,0,1.0
7,0_0_0,0_1_0,2_3,2_4,4,4,0,0,1.0
8,0_0_0,0_1_0,2_4,2_5,4,9,0,2,1.0
9,0_0_0,0_1_0,2_5,3_1,9,5,2,0,1.0
10,0_0_0,0_1_0,3_1,3_2,5,6,0,1,1.0
11,0_0_0,0_1_0,3_2,3_3,6,3,1,0,1.0
12,0_0_0,0_1_0,3_3,3_4,3,1,0,1,0.4000000000000001
13,0_0_0,0_1_0,3_4,3_5,1,2,1,0,1.0
14,0_1_0,0_1_1,1_1,1_2,1,0,14,13,1.0
15,0_1_0,0_1_1,1_2,1_3,0,0,13,11,1.0
16,0_1_0,0_1_1,1_3,1_4,0,0,11,11,1.0
17,0_1_0,0_1_1,1_4,1_5,0,0,11,12,1.0
18,0_1_0,0_1_1,1_5,2_1,0,0,12,7,1.0
19,0_1_0,0_1_1,2_1,2_2,0,0,7,5,1.0
20,0_1_0,0_1_1,2_2,2_3,0,0,5,5,1.0
21,0_1_0,0_1_1,2_3,2_4,0,0,5,5,1.0
22,0_1_0,0_1_1,2_4,2_5,0,2,5,0,0.04761904761904761
23,0_1_0,0_1_1,2_5,3_1,2,0,0,0,1.0
24,0_1_0,0_1_1,3_1,3_2,0,1,0,0,1.0
25,0_1_0,0_1_1,3_2,3_3,1,0,0,0,1.0
26,0_1_0,0_1_1,3_3,3_4,0,1,0,0,1.0
27,0_1_0,0_1_1,3_4,3_5,1,0,0,0,1.0
28,0_1_1,1_0_0,1_1,1_2,14,13,5,9,0.5099518765082128
29,0_1_1,1_0_0,1_2,1_3,13,11,9,14,0.3851592074114081
30,0_1_1,1_0_0,1_3,1_4,11,11,14,17,0.7850034956829857
31,0_1_1,1_0_0,1_4,1_5,11,12,17,15,0.7874910585428516
32,0_1_1,1_0_0,1_5,2_1,12,7,15,23,0.10302273476494286
33,0_1_1,1_0_0,2_1,2_2,7,5,23,20,1.0
34,0_1_1,1_0_0,2_2,2_3,5,5,20,25,1.0
35,0_1_1,1_0_0,2_3,2_4,5,5,25,25,1.0
36,0_1_1,1_0_0,2_4,2_5,5,0,25,23,0.06138478613506361
37,0_1_1,1_0_0,2_5,3_1,0,0,23,20,1.0
38,0_1_1,1_0_0,3_1,3_2,0,0,20,16,1.0
39,0_1_1,1_0_0,3_2,3_3,0,0,16,13,1.0
40,0_1_1,1_0_0,3_3,3_4,0,0,13,19,1.0
41,0_1_1,1_0_0,3_4,3_5,0,0,19,14,1.0
42,1_0_0,1_0_1,1_1,1_2,5,9,0,0,1.0
43,1_0_0,1_0_1,1_2,1_3,9,14,0,0,1.0
44,1_0_0,1_0_1,1_3,1_4,14,17,0,0,1.0
45,1_0_0,1_0_1,1_4,1_5,17,15,0,0,1.0
46,1_0_0,1_0_1,1_5,2_1,15,23,0,0,1.0
47,1_0_0,1_0_1,2_1,2_2,23,20,0,0,1.0
48,1_0_0,1_0_1,2_2,2_3,20,25,0,0,1.0
49,1_0_0,1_0_1,2_3,2_4,25,25,0,0,1.0
50,1_0_0,1_0_1,2_4,2_5,25,23,0,0,1.0
51,1_0_0,1_0_1,2_5,3_1,23,20,0,9,0.0029442709980882697
52,1_0_0,1_0_1,3_1,3_2,20,16,9,11,0.5785073825543054
53,1_0_0,1_0_1,3_2,3_3,16,13,11,18,0.29237190334030616
54,1_0_0,1_0_1,3_3,3_4,13,19,18,13,0.2110302136247133
55,1_0_0,1_0_1,3_4,3_5,19,14,13,18,0.31714585402488626
56,0_0_0,0_0_1,1_1,1_2,14,12,2,3,0.6539364726239032
57,0_0_0,0_0_1,1_2,1_3,12,19,3,1,0.29239877769289535
58,0_0_0,0_0_1,1_3,1_4,19,7,1,6,0.008435298479792361
59,0_0_0,0_0_1,1_4,1_5,7,15,6,1,0.026020323171747465
60,0_0_0,0_0_1,1_5,2_1,15,19,1,0,0.45714285714285713
61,0_0_0,0_0_1,2_1,2_2,19,17,0,3,0.23076923076923078
62,0_0_0,0_0_1,2_2,2_3,17,18,3,1,0.6049896049896051
63,0_0_0,0_0_1,2_3,2_4,18,15,1,3,0.3397683397683397
64,0_0_0,0_0_1,2_4,2_5,15,12,3,2,1.0
65,0_0_0,0_0_1,2_5,3_1,12,20,2,3,1.0
66,0_0_0,0_0_1,3_1,3_2,20,25,3,0,0.1023936170212766
67,0_0_0,0_0_1,3_2,3_3,25,18,0,0,1.0
68,0_0_0,0_0_1,3_3,3_4,18,20,0,0,1.0
69,0_0_0,0_0_1,3_4,3_5,20,20,0,0,1.0
70,0_0_1,0_1_0,1_1,1_2,2,3,2,0,0.4285714285714286
71,0_0_1,0_1_0,1_2,1_3,3,1,0,1,0.4000000000000001
72,0_0_1,0_1_0,1_3,1_4,1,6,1,0,0.25
73,0_0_1,0_1_0,1_4,1_5,6,1,0,0,1.0
74,0_0_1,0_1_0,1_5,2_1,1,0,0,1,1.0
75,0_0_1,0_1_0,2_1,2_2,0,3,1,0,0.25
76,0_0_1,0_1_0,2_2,2_3,3,1,0,0,1.0
77,0_0_1,0_1_0,2_3,2_4,1,3,0,0,1.0
78,0_0_1,0_1_0,2_4,2_5,3,2,0,0,1.0
79,0_0_1,0_1_0,2_5,3_1,2,3,0,4,0.4444444444444445
80,0_0_1,0_1_0,3_1,3_2,3,0,4,8,0.07692307692307691
81,0_0_1,0_1_0,3_2,3_3,0,0,8,15,1.0
82,0_0_1,0_1_0,3_3,3_4,0,0,15,15,1.0
83,0_0_1,0_1_0,3_4,3_5,0,0,15,13,1.0
84,0_1_0,0_1_1,1_1,1_2,2,0,18,21,0.2317073170731707
85,0_1_0,0_1_1,1_2,1_3,0,1,21,17,0.4615384615384616
86,0_1_0,0_1_1,1_3,1_4,1,0,17,22,0.45000000000000007
87,0_1_0,0_1_1,1_4,1_5,0,0,22,19,1.0
88,0_1_0,0_1_1,1_5,2_1,0,1,19,12,0.40625
89,0_1_0,0_1_1,2_1,2_2,1,0,12,15,0.4642857142857142
90,0_1_0,0_1_1,2_2,2_3,0,0,15,17,1.0
91,0_1_0,0_1_1,2_3,2_4,0,0,17,15,1.0
92,0_1_0,0_1_1,2_4,2_5,0,0,15,15,1.0
93,0_1_0,0_1_1,2_5,3_1,0,4,15,3,0.0047846889952153126
94,0_1_0,0_1_1,3_1,3_2,4,8,3,0,0.0769230769230769
95,0_1_0,0_1_1,3_2,3_3,8,15,0,1,1.0
96,0_1_0,0_1_1,3_3,3_4,15,15,1,0,1.0
97,0_1_0,0_1_1,3_4,3_5,15,13,0,0,1.0
98,0_1_1,1_0_0,1_1,1_2,18,21,2,2,1.0
99,0_1_1,1_0_0,1_2,1_3,21,17,2,0,0.49871794871794883
100,0_1_1,1_0_0,1_3,1_4,17,22,0,3,0.2595818815331011
101,0_1_1,1_0_0,1_4,1_5,22,19,3,3,1.0
102,0_1_1,1_0_0,1_5,2_1,19,12,3,6,0.25343035343035347
103,0_1_1,1_0_0,2_1,2_2,12,15,6,3,0.44301749418545855
104,0_1_1,1_0_0,2_2,2_3,15,17,3,2,0.6598806598806599
105,0_1_1,1_0_0,2_3,2_4,17,15,2,5,0.40748440748440745
106,0_1_1,1_0_0,2_4,2_5,15,15,5,9,0.5186251243100821
107,0_1_1,1_0_0,2_5,3_1,15,3,9,5,0.25167222840192804
108,0_1_1,1_0_0,3_1,3_2,3,0,5,5,0.23076923076923078
109,0_1_1,1_0_0,3_2,3_3,0,1,5,4,1.0
110,0_1_1,1_0_0,3_3,3_4,1,0,4,3,1.0
111,0_1_1,1_0_0,3_4,3_5,0,0,3,5,1.0
112,1_0_0,1_0_1,1_1,1_2,2,2,0,0,1.0
113,1_0_0,1_0_1,1_2,1_3,2,0,0,0,1.0
114,1_0_0,1_0_1,1_3,1_4,0,3,0,0,1.0
115,1_0_0,1_0_1,1_4,1_5,3,3,0,0,1.0
116,1_0_0,1_0_1,1_5,2_1,3,6,0,0,1.0
117,1_0_0,1_0_1,2_1,2_2,6,3,0,0,1.0
118,1_0_0,1_0_1,2_2,2_3,3,2,0,0,1.0
119,1_0_0,1_0_1,2_3,2_4,2,5,0,0,1.0
120,1_0_0,1_0_1,2_4,2_5,5,9,0,0,1.0
121,1_0_0,1_0_1,2_5,3_1,9,5,0,3,0.08235294117647059
122,1_0_0,1_0_1,3_1,3_2,5,5,3,0,0.23076923076923075
123,1_0_0,1_0_1,3_2,3_3,5,4,0,0,1.0
124,1_0_0,1_0_1,3_3,3_4,4,3,0,0,1.0
125,1_0_0,1_0_1,3_4,3_5,3,5,0,0,1.0
126,0_0_0,0_0_1,1_1,1_2,15,4,1,2,0.16883116883116883
127,0_0_0,0_0_1,1_2,1_3,4,9,2,1,0.5178571428571428
128,0_0_0,0_0_1,1_3,1_4,9,8,1,1,1.0
129,0_0_0,0_0_1,1_4,1_5,8,8,1,0,1.0
130,0_0_0,0_0_1,1_5,2_1,8,17,0,1,1.0
131,0_0_0,0_0_1,2_1,2_2,17,11,1,4,0.1522777833956922
132,0_0_0,0_0_1,2_2,2_3,11,12,4,3,1.0
133,0_0_0,0_0_1,2_3,2_4,12,10,3,2,1.0
134,0_0_0,0_0_1,2_4,2_5,10,12,2,2,1.0
135,0_0_0,0_0_1,2_5,3_1,12,26,2,1,0.26463414634146337
136,0_0_0,0_0_1,3_1,3_2,26,30,1,0,0.4736842105263158
137,0_0_0,0_0_1,3_2,3_3,30,21,0,0,1.0
138,0_0_0,0_0_1,3_3,3_4,21,24,0,0,1.0
139,0_0_0,0_0_1,3_4,3_5,24,25,0,0,1.0
140,0_0_1,0_1_0,1_1,1_2,1,2,0,1,1.0
141,0_0_1,0_1_0,1_2,1_3,2,1,1,0,1.0
142,0_0_1,0_1_0,1_3,1_4,1,1,0,1,1.0
143,0_0_1,0_1_0,1_4,1_5,1,0,1,0,1.0
144,0_0_1,0_1_0,1_5,2_1,0,1,0,1,1.0
145,0_0_1,0_1_0,2_1,2_2,1,4,1,0,0.3333333333333333
146,0_0_1,0_1_0,2_2,2_3,4,3,0,0,1.0
147,0_0_1,0_1_0,2_3,2_4,3,2,0,1,1.0
148,0_0_1,0_1_0,2_4,2_5,2,2,1,0,1.0
149,0_0_1,0_1_0,2_5,3_1,2,1,0,3,0.4000000000000001
150,0_0_1,0_1_0,3_1,3_2,1,0,3,11,0.26666666666666666
151,0_0_1,0_1_0,3_2,3_3,0,0,11,11,1.0
152,0_0_1,0_1_0,3_3,3_4,0,0,11,13,1.0
153,0_0_1,0_1_0,3_4,3_5,0,0,13,14,1.0
154,0_1_0,0_1_1,1_1,1_2,0,1,28,38,1.0
155,0_1_0,0_1_1,1_2,1_3,1,0,38,36,1.0
156,0_1_0,0_1_1,1_3,1_4,0,1,36,32,0.47826086956521746
157,0_1_0,0_1_1,1_4,1_5,1,0,32,37,0.4714285714285714
158,0_1_0,0_1_1,1_5,2_1,0,1,37,22,0.3833333333333334
159,0_1_0,0_1_1,2_1,2_2,1,0,22,30,0.4339622641509434
160,0_1_0,0_1_1,2_2,2_3,0,0,30,28,1.0
161,0_1_0,0_1_1,2_3,2_4,0,1,28,31,1.0
162,0_1_0,0_1_1,2_4,2_5,1,0,31,31,1.0
163,0_1_0,0_1_1,2_5,3_1,0,3,31,11,0.02565186751233263
164,0_1_0,0_1_1,3_1,3_2,3,11,11,0,0.00011643559025440841
165,0_1_0,0_1_1,3_2,3_3,11,11,0,0,1.0
166,0_1_0,0_1_1,3_3,3_4,11,13,0,0,1.0
167,0_1_0,0_1_1,3_4,3_5,13,14,0,0,1.0
168,0_1_1,1_0_0,1_1,1_2,28,38,5,3,0.45375724186409794
169,0_1_1,1_0_0,1_2,1_3,38,36,3,2,1.0
170,0_1_1,1_0_0,1_3,1_4,36,32,2,7,0.15363303106309087
171,0_1_1,1_0_0,1_4,1_5,32,37,7,4,0.3430803391530037
172,0_1_1,1_0_0,1_5,2_1,37,22,4,6,0.29605184548400265
173,0_1_1,1_0_0,2_1,2_2,22,30,6,4,0.3256301138792401
174,0_1_1,1_0_0,2_2,2_3,30,28,4,5,0.7337032962020003
175,0_1_1,1_0_0,2_3,2_4,28,31,5,5,1.0
176,0_1_1,1_0_0,2_4,2_5,31,31,5,4,1.0
177,0_1_1,1_0_0,2_5,3_1,31,11,4,8,0.015901138363600804
178,0_1_1,1_0_0,3_1,3_2,11,0,8,8,0.008249721293199553
179,0_1_1,1_0_0,3_2,3_3,0,0,8,17,1.0
180,0_1_1,1_0_0,3_3,3_4,0,0,17,12,1.0
181,0_1_1,1_0_0,3_4,3_5,0,0,12,10,1.0
182,1_0_0,1_0_1,1_1,1_2,5,3,0,1,0.4444444444444444
183,1_0_0,1_0_1,1_2,1_3,3,2,1,1,1.0
184,1_0_0,1_0_1,1_3,1_4,2,7,1,0,0.3
185,1_0_0,1_0_1,1_4,1_5,7,4,0,0,1.0
186,1_0_0,1_0_1,1_5,2_1,4,6,0,2,0.5151515151515151
187,1_0_0,1_0_1,2_1,2_2,6,4,2,0,0.5151515151515152
188,1_0_0,1_0_1,2_2,2_3,4,5,0,1,1.0
189,1_0_0,1_0_1,2_3,2_4,5,5,1,0,1.0
190,1_0_0,1_0_1,2_4,2_5,5,4,0,0,1.0
191,1_0_0,1_0_1,2_5,3_1,4,8,0,0,1.0
192,1_0_0,1_0_1,3_1,3_2,8,8,0,0,1.0
193,1_0_0,1_0_1,3_2,3_3,8,17,0,0,1.0
194,1_0_0,1_0_1,3_3,3_4,17,12,0,0,1.0
195,1_0_0,1_0_1,3_4,3_5,12,10,0,0,1.0
196,0_0_0,0_0_1,1_1,1_2,22,10,1,0,1.0
197,0_0_0,0_0_1,1_2,1_3,10,10,0,0,1.0
198,0_0_0,0_0_1,1_3,1_4,10,12,0,0,1.0
199,0_0_0,0_0_1,1_4,1_5,12,7,0,1,0.4
200,0_0_0,0_0_1,1_5,2_1,7,14,1,0,0.36363636363636365
201,0_0_0,0_0_1,2_1,2_2,14,15,0,0,1.0
202,0_0_0,0_0_1,2_2,2_3,15,21,0,0,1.0
203,0_0_0,0_0_1,2_3,2_4,21,21,0,0,1.0
204,0_0_0,0_0_1,2_4,2_5,21,24,0,0,1.0
205,0_0_0,0_0_1,2_5,3_1,24,26,0,1,1.0
206,0_0_0,0_0_1,3_1,3_2,26,11,1,0,1.0
207,0_0_0,0_0_1,3_2,3_3,11,11,0,0,1.0
208,0_0_0,0_0_1,3_3,3_4,11,10,0,0,1.0
209,0_0_0,0_0_1,3_4,3_5,10,11,0,0,1.0
210,0_0_1,0_1_0,1_1,1_2,1,0,0,0,1.0
211,0_0_1,0_1_0,1_2,1_3,0,0,0,0,1.0
212,0_0_1,0_1_0,1_3,1_4,0,0,0,0,1.0
213,0_0_1,0_1_0,1_4,1_5,0,1,0,0,1.0
214,0_0_1,0_1_0,1_5,2_1,1,0,0,3,0.25
215,0_0_1,0_1_0,2_1,2_2,0,0,3,1,1.0
216,0_0_1,0_1_0,2_2,2_3,0,0,1,0,1.0
217,0_0_1,0_1_0,2_3,2_4,0,0,0,1,1.0
218,0_0_1,0_1_0,2_4,2_5,0,0,1,0,1.0
219,0_0_1,0_1_0,2_5,3_1,0,1,0,5,1.0
220,0_0_1,0_1_0,3_1,3_2,1,0,5,3,1.0
221,0_0_1,0_1_0,3_2,3_3,0,0,3,1,1.0
222,0_0_1,0_1_0,3_3,3_4,0,0,1,3,1.0
223,0_0_1,0_1_0,3_4,3_5,0,0,3,2,1.0
224,0_1_0,0_1_1,1_1,1_2,0,0,17,20,1.0
225,0_1_0,0_1_1,1_2,1_3,0,0,20,22,1.0
226,0_1_0,0_1_1,1_3,1_4,0,0,22,19,1.0
227,0_1_0,0_1_1,1_4,1_5,0,0,19,21,1.0
228,0_1_0,0_1_1,1_5,2_1,0,3,21,12,0.06372549019607843
229,0_1_0,0_1_1,2_1,2_2,3,1,12,7,1.0
230,0_1_0,0_1_1,2_2,2_3,1,0,7,11,0.4210526315789474
231,0_1_0,0_1_1,2_3,2_4,0,1,11,8,0.45
232,0_1_0,0_1_1,2_4,2_5,1,0,8,9,1.0
233,0_1_0,0_1_1,2_5,3_1,0,5,9,0,0.0004995004995004995
234,0_1_0,0_1_1,3_1,3_2,5,3,0,0,1.0
235,0_1_0,0_1_1,3_2,3_3,3,1,0,0,1.0
236,0_1_0,0_1_1,3_3,3_4,1,3,0,0,1.0
237,0_1_0,0_1_1,3_4,3_5,3,2,0,0,1.0
238,0_1_1,1_0_0,1_1,1_2,17,20,8,16,0.4265529736566471
239,0_1_1,1_0_0,1_2,1_3,20,22,16,16,1.0
240,0_1_1,1_0_0,1_3,1_4,22,19,16,17,0.8153016002629874
241,0_1_1,1_0_0,1_4,1_5,19,21,17,18,1.0
242,0_1_1,1_0_0,1_5,2_1,21,12,18,19,0.2360444630329838
243,0_1_1,1_0_0,2_1,2_2,12,7,19,23,0.27040200855555474
244,0_1_1,1_0_0,2_2,2_3,7,11,23,16,0.2535421612983097
245,0_1_1,1_0_0,2_3,2_4,11,8,16,18,0.5694047602614417
246,0_1_1,1_0_0,2_4,2_5,8,9,18,15,0.7666368054108623
247,0_1_1,1_0_0,2_5,3_1,9,0,15,15,0.006922341911855544
248,0_1_1,1_0_0,3_1,3_2,0,0,15,31,1.0
249,0_1_1,1_0_0,3_2,3_3,0,0,31,34,1.0
250,0_1_1,1_0_0,3_3,3_4,0,0,34,33,1.0
251,0_1_1,1_0_0,3_4,3_5,0,0,33,33,1.0
252,1_0_0,1_0_1,1_1,1_2,8,16,0,2,1.0
253,1_0_0,1_0_1,1_2,1_3,16,16,2,0,0.4866310160427807
254,1_0_0,1_0_1,1_3,1_4,16,17,0,0,1.0
255,1_0_0,1_0_1,1_4,1_5,17,18,0,1,1.0
256,1_0_0,1_0_1,1_5,2_1,18,19,1,0,1.0
257,1_0_0,1_0_1,2_1,2_2,19,23,0,2,0.4978858350951374
258,1_0_0,1_0_1,2_2,2_3,23,16,2,0,0.5121951219512195
259,1_0_0,1_0_1,2_3,2_4,16,18,0,0,1.0
260,1_0_0,1_0_1,2_4,2_5,18,15,0,0,1.0
261,1_0_0,1_0_1,2_5,3_1,15,15,0,1,1.0
262,1_0_0,1_0_1,3_1,3_2,15,31,1,3,1.0
263,1_0_0,1_0_1,3_2,3_3,31,34,3,2,0.6690460739779365
264,1_0_0,1_0_1,3_3,3_4,34,33,2,2,1.0
265,1_0_0,1_0_1,3_4,3_5,33,33,2,2,1.0
