"InputID","day","1_1","1_2","1_3","1_4","2_1","2_2","2_3","2_4","3_1","3_2","3_3","3_4"
"31710071",1,"F_S_x","F_S_x","x_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","F_x_R","x_S_x","F_x_x","x_S_x"
"31510207",1,"F_S_x","F_x_x","x_x_x","F_x_x","F_S_R","F_S_R","F_x_x","F_S_x","F_x_x","x_x_x","x_x_x","x_x_x"
"31710039",1,"F_S_x","F_x_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_x","x_S_x","x_x_x","F_x_x"
"31710061",1,"F_S_R","F_S_x","F_x_x","x_x_x","F_S_R","F_S_x","F_x_x","x_x_x","F_x_R","x_x_x","x_x_x","x_S_x"
"31510139",1,"F_S_x","F_S_x","F_x_x","F_S_R","F_S_x","F_S_R","x_x_x","F_S_x","x_S_R","x_S_x","x_x_x","x_S_x"
"31410011",1,"F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","F_x_x","F_x_x","F_x_x","x_S_x","F_S_x","x_x_x","x_x_x"
"31510187",1,"x_S_x","F_S_x","x_x_x","F_S_x","x_S_x","x_x_x","x_x_x","F_S_R","x_x_R","x_x_x","x_x_x","x_x_x"
"31710135",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","x_x_x","x_x_R","x_S_x","x_x_x","x_S_x"
"31610160",1,"x_S_R","F_S_x","x_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","F_x_R","x_S_x","x_x_x","x_S_x"
"31410196",1,"F_S_x","F_S_R","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","F_x_R","F_x_x","x_x_x","x_S_x"
"31710143",1,"F_S_R","F_S_x","x_x_x","x_x_x","x_x_x","x_x_x","F_x_x","F_S_x","x_x_x","F_x_x","x_x_x","x_x_x"
"31710117",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","x_x_x","x_x_x","F_x_R","F_x_x","x_x_x","x_x_x"
"s31610023",1,"F_S_R","F_S_x","x_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_S_x"
"31510037",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","x_x_R","x_x_x","F_S_R","x_S_x","x_S_x","x_S_x","x_S_x"
"31710035",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","x_x_x","F_x_x","F_x_R","F_x_x","x_x_x","F_x_x"
"31610025",1,"F_S_R","F_S_x","x_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_x","x_S_x","F_x_x","x_S_R"
"31510074",1,"F_S_R","F_S_x","F_x_x","F_x_x","F_S_R","F_S_x","F_x_x","F_S_x","F_x_x","x_S_x","F_x_x","F_S_x"
"72",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_x","x_x_x","x_x_x","x_S_x"
"31710065",1,"x_S_x","F_S_x","F_x_x","F_S_x","x_x_R","F_S_x","F_x_x","F_S_x","F_x_R","x_S_x","F_x_x","x_x_x"
"31610044",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","x_x_x","x_x_x","F_x_x","F_x_x","F_x_x","x_x_x","F_S_x"
"31710167",1,"x_x_x","x_x_x","F_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x"
"31610028",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_R","F_x_x","F_S_x","x_x_R","F_S_x","x_S_x","x_S_x"
"31610016",1,"x_x_x","F_x_x","x_x_x","F_S_x","F_S_x","F_S_x","x_x_x","F_x_x","x_x_x","x_x_x","x_x_x","x_x_x"
"31710156",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","x_S_x","F_x_x","x_x_x","x_x_x","F_x_x","x_x_x","x_x_x"
"31610035",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_R","x_S_x","F_x_x","F_x_x","x_x_R","x_x_x","x_x_x","x_S_x"
"31610052",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_R","F_x_x","F_S_x","x_S_R","x_S_x","x_x_x","x_S_x"
"31610135",1,"F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","F_S_R","F_x_x","F_S_x","F_x_R","x_x_x","F_x_x","F_S_x"
"31510062",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_x_R","x_x_x","F_x_x","F_x_R","F_x_x","x_x_x","x_x_x"
"31310102",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_R","F_x_x","F_S_x","F_x_R","F_x_x","x_x_x","x_x_x"
"31510180",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_R","x_x_x","F_S_x","x_S_x","F_x_x","x_x_x","x_x_x"
"31710150",1,"F_S_x","x_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_R","x_x_x","F_x_x","F_x_x"
"31710148",1,"F_S_x","F_x_x","x_x_x","F_S_x","x_x_R","x_S_x","F_x_x","F_S_x","F_x_x","F_x_x","F_x_x","x_x_x"
"31610037",1,"x_S_R","F_S_x","x_x_x","F_S_R","F_S_x","F_S_R","F_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_S_x"
"31710176",1,"F_S_x","x_x_x","F_x_x","F_S_x","F_S_x","F_S_R","F_x_x","F_S_x","F_x_R","x_x_x","F_x_x","x_x_x"
"31710105",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","x_x_x","F_x_x","F_x_x","x_x_R","F_x_x","x_x_x","x_x_x"
"31610121",1,"F_S_x","x_x_x","F_x_x","F_x_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_R","F_S_x","x_x_x","x_x_x"
"31710111",1,"F_S_x","F_x_x","F_x_x","F_x_x","x_x_R","x_S_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_S_x"
"31710145",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_x_x","x_x_x","x_x_x","F_x_x","F_x_x"
"31710165",1,"F_S_x","F_S_x","x_x_x","F_S_x","x_x_x","F_S_x","x_x_x","F_S_x","x_x_x","x_x_x","x_x_x","F_S_x"
"31710013",1,"F_S_x","F_S_x","x_x_x","x_S_x","F_S_R","x_x_x","x_x_x","x_x_x","x_S_R","x_x_x","x_S_x","x_x_x"
"31710016",1,"x_S_x","x_x_x","F_x_x","F_x_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_x","F_x_x","x_x_x","x_S_x"
"31510058",1,"x_x_R","F_S_x","x_x_x","F_x_x","F_S_R","F_S_x","F_x_x","F_S_x","F_x_x","F_x_x","x_x_x","x_x_x"
"31710046",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","F_x_R","F_x_x","x_x_x","x_x_x"
"31710112",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_x_x","F_x_x","F_S_x","F_x_R","x_S_x","x_x_x","x_S_x"
"31710106",1,"F_S_x","F_S_x","x_x_x","F_S_R","F_S_x","x_S_x","F_x_x","F_x_x","x_x_R","x_S_x","x_x_x","x_x_x"
"31710042",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","x_x_x","x_S_x","F_x_R","x_x_x","x_x_x","x_S_R"
"31410170",1,"F_S_R","F_S_x","F_x_x","F_S_x","F_S_R","F_S_R","F_x_x","F_S_R","F_x_R","x_S_x","x_x_x","x_x_x"
"31610124",1,"F_S_R","F_S_x","F_x_x","F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","x_x_x","x_x_x","x_S_x","F_x_x"
"31610007",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_x","F_x_x","F_x_x","F_x_x"
"31510147",1,"F_S_x","F_S_x","x_x_x","F_x_x","F_S_R","F_x_x","F_x_x","x_S_x","x_x_x","x_x_x","F_x_x","x_S_x"
"31610001",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_x_x","F_x_x","F_x_x","x_x_x","x_x_x"
"31710002",1,"x_x_R","F_S_x","F_x_x","F_S_x","F_S_R","x_S_R","F_x_x","F_S_x","x_x_R","F_x_x","x_x_x","F_S_x"
"31710096",1,"F_S_x","F_x_x","F_x_x","F_x_x","F_S_R","F_S_x","x_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_x_x"
"31610079",1,"x_S_R","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_S_R","x_x_x","x_x_x","x_x_x"
"31710101",1,"x_S_R","F_x_x","x_x_x","F_S_x","F_S_R","x_x_x","F_x_x","F_S_R","F_x_x","F_x_x","x_x_x","F_x_x"
"31510134",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_S_x"
"31610097",1,"F_x_x","F_S_x","F_x_x","F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","x_x_x","x_S_x","x_x_x","x_x_x"
"31410066",1,"x_S_x","F_S_x","F_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","F_x_x","x_x_x","x_x_x","F_S_x"
